voice_id,name,gender,category,accent,age,description,,locale,,language
x5IDPSl4ZUbhosMmVFTk,"Lumina - 
Clara & Natural",female,professional,colombian,young,"A neutral and versatile female voice, characterized by its clarity and a soft and direct tone. 
Lúminā conveys content with precision and elegance, making it perfect for narration, stories, advertisements and educational materials. 
Whether guiding you through complex information or narrating a moving story, this voice adapts effortlessly, ensuring every word is clear and impactful.",,,,es
B8gJV1IhpuegLxdpXFOE,kuon,female,professional,standard,young,Acute female & fantastic voice.,,,,ja
2zRM7PkgwBPiau2jvVXc,Monika Sogam,female,professional,indian,young,Indian English accent voice for social media videos and audiobooks,,en-IN,,en
EXAVITQu4vr4xnSDxMaL,Sarah,female,premade,american,young,"Young adult woman with a confident and warm, mature quality and a reassuring, professional tone.",,,,en
XB0fDUnXU5powFXDhCwa,Charlotte,female,premade,swedish,young,"Sensual and raspy, she's ready to voice your temptress in video games.",,,,en
XrExE9yKIg1WjnnlVkGX,Matilda,female,premade,american,middle_aged,A professional woman with a pleasing alto pitch. Suitable for many use cases.,,,,en
1SM7GgM6IMuvQlz2BwM3,Mark - ConvoAI,male,professional,american,middle_aged,,,,,en
Hjzqw9NR0xFMYU9Us0DL,"Reginald - 
intense villain",male,professional,american,middle_aged,"A dark, brooding character voice, perfect for video games.",,,,en
NNl6r8mD7vthiJatiJt1,Bradford,male,professional,british,middle_aged,"An adult British Male Storyteller. Expressive, articulate, and engaging!",,,,en
15bJsujCI3tcDWeoZsQP,"Santiago 
Latinamerican Spanish",male,professional,,young,"Young Spanish Male. Voice is Clear, casual with a Mexican accent. Great for conversations.",,,,es
CwhRBWXzGAHq8TQ4Fs17,Roger,male,premade,,middle_aged,,,,,en
IKne3meq5aSn9XLyUdCD,Charlie,male,premade,australian,young,A young Australian male with a confident and energetic voice.,,,,en
JBFqnCBsd6RMkjVDRZzb,George,male,premade,british,middle_aged,Warm resonance that instantly captivates listeners.,,,,en
bIHbv24MWmeRgasZH58o,Will,male,premade,american,young,Conversational and laid back.,,,,en
cjVigY5qzO86Huf0OWal,Eric,male,premade,american,middle_aged,A smooth tenor pitch from a man in his 40s - perfect for agentic use cases.,,,,en
